	high_loss_example	low_loss_example	set_id	cataphora_condition	gpt2-large:gpt2-large:high_loss	gpt2-large:gpt2-large:low_loss	gpt2-large:gpt2-large:loss_diff	gpt2:gpt2:high_loss	gpt2:gpt2:low_loss	gpt2:gpt2:loss_diff	gpt2-medium:gpt2-medium:high_loss	gpt2-medium:gpt2-medium:low_loss	gpt2-medium:gpt2-medium:loss_diff
0	he got up from his spot on the couch when Liam heard shouting outside the house.	Liam got up from his spot on the couch when he heard shouting outside the house.	HB02	U	3.6742310523986816	3.0826358795166016	0.5915951728820801	3.970192909240722	3.47528076171875	0.4949121475219726	3.5224502086639404	2.978365898132324	0.5440843105316162
1	he got up from his spot on the couch when Bill heard shouting outside the house.	Bill got up from his spot on the couch when he heard shouting outside the house.	HB02	U	3.5686817169189453	2.805116415023804	0.7635653018951416	3.8585739135742183	3.1797146797180176	0.6788592338562012	3.490309476852417	2.7045490741729736	0.7857604026794434
2	he got up from his spot on the couch when Steve heard shouting outside the house.	Steve got up from his spot on the couch when he heard shouting outside the house.	HB02	U	3.5677051544189453	2.7187981605529785	0.8489069938659668	3.73168420791626	3.0950448513031006	0.6366393566131592	3.4297616481781006	2.7145323753356934	0.7152292728424072
3	he got up from his spot on the couch when Matt heard shouting outside the house.	Matt got up from his spot on the couch when he heard shouting outside the house.	HB02	U	3.5321640968322754	2.839772701263428	0.6923913955688477	3.908522605895996	3.0754523277282715	0.8330702781677246	3.4558324813842773	2.75142240524292	0.7044100761413574
4	he got up from his spot on the couch when Noah heard shouting outside the house.	Noah got up from his spot on the couch when he heard shouting outside the house.	HB02	U	3.695003032684326	2.889179944992065	0.8058230876922607	3.936355590820313	3.319710731506348	0.6166448593139648	3.5810885429382324	2.8741016387939453	0.7069869041442871
5	he got up from his spot on the couch when Donald heard shouting outside the house.	Donald got up from his spot on the couch when he heard shouting outside the house.	HB02	U	3.6780998706817623	2.8688650131225586	0.8092348575592041	3.8129611015319824	3.3502140045166016	0.4627470970153808	3.656905651092529	3.2437806129455566	0.4131250381469726
6	he got up from his spot on the couch when Randolf heard shouting outside the house.	Randolf got up from his spot on the couch when he heard shouting outside the house.	HB02	U	3.711735010147095	3.0648372173309326	0.6468977928161621	3.900133848190308	3.426349878311157	0.4737839698791504	3.639291524887085	2.899562120437622	0.7397294044494629
7	he got up from his spot on the couch when Edward heard shouting outside the house.	Edward got up from his spot on the couch when he heard shouting outside the house.	HB02	U	3.640329837799072	2.9504783153533936	0.6898515224456787	3.871202945709229	3.065723657608032	0.8054792881011963	3.6235671043396	2.884603977203369	0.7389631271362305
8	he got up from his spot on the couch when William heard shouting outside the house.	William got up from his spot on the couch when he heard shouting outside the house.	HB02	U	3.590638399124145	2.760469436645508	0.8301689624786377	3.810675621032715	3.058813095092773	0.7518625259399414	3.5134263038635254	2.873490333557129	0.6399359703063965
9	he got up from his spot on the couch when Charles heard shouting outside the house.	Charles got up from his spot on the couch when he heard shouting outside the house.	HB02	U	3.573249101638794	2.7800800800323486	0.7931690216064453	3.762097835540772	3.0510683059692383	0.7110295295715332	3.5305774211883545	2.790563106536865	0.7400143146514893
10	he got up from his spot on the couch when Clyde heard shouting outside the house.	Clyde got up from his spot on the couch when he heard shouting outside the house.	HB02	U	3.71682071685791	2.887984275817871	0.8288364410400391	4.020015239715576	3.14483380317688	0.8751814365386963	3.568931579589844	3.025273323059082	0.5436582565307617
