	high_loss_example	low_loss_example	set_id	cataphora_condition	high_loss	low_loss	loss_diff
0	She got up from her spot on the couch when May heard shouting outside the house.	May got up from her spot on the couch when she heard shouting outside the house.	HB02	U	3.575892686843872	3.255364179611206	0.320528507232666
1	She was getting ready to lie down on the couch when May heard shouting outside the house.	May was getting ready to lie down on the couch when she heard shouting outside the house.	HB02	A	3.3822200298309326	3.145217180252075	0.23700284957885742
2	He rubbed his tired eyes in fatigue just as Jack spotted the car behind a billboard.	Jack rubbed his tired eyes in fatigue just as he spotted the car behind a billboard.	HB02	U	5.438141822814941	4.942662715911865	0.49547910690307617
3	He was rubbing his tired eyes in fatigue when Jack spotted the car behind a billboard.	Jack was rubbing his tired eyes in fatigue when he spotted the car behind a billboard.	HB02	A	5.156545639038086	4.611916542053223	0.5446290969848633
4	He stopped unpacking when Jeff lost the inventory list.	Jeff stopped unpacking when he lost the inventory list.	HB02	U	6.231509208679199	5.770613670349121	0.4608955383300781
5	He had just begun unpacking when Jeff lost the inventory list.	Jeff had just begun unpacking when he lost the inventory list.	HB02	A	5.601109981536865	5.009783744812012	0.5913262367248535
6	She finished the meal preparations before Maggie remembered they had forgotten an important ingredient.	Maggie finished the meal preparations before she remembered they had forgotten an important ingredient.	HB02	U	5.670355796813965	5.295623779296875	0.37473201751708984
7	She had already finished the meal preparations when Maggie remembered they had forgotten an important ingredient. 	Maggie had already finished the meal preparations when she remembered they had forgotten an important ingredient. 	HB02	A	5.1465582847595215	4.579629898071289	0.5669283866882324
8	He placed a few bets even though Mike was advised that the cops were in the bar.	Mike placed a few bets even though he was advised that the cops were in the bar.	HB02	U	4.716052532196045	4.245821952819824	0.4702305793762207
9	He was about to place a few bets when Mike was advised that the cops were in the bar.	Mike was about to place a few bets when he was advised that the cops were in the bar.	HB02	A	4.10170841217041	3.7168712615966797	0.38483715057373047
10	He felt very confident until Larry was accosted by a grim-faced policeman.	Larry felt very confident until he was accosted by a grim-faced policeman.	HB02	U	4.312423229217529	3.727130889892578	0.5852923393249512
11	He had just entered the room when Larry was accosted by a grim-faced policeman.	Larry had just entered the room when he was accosted by a grim-faced policeman.	HB02	A	3.5126547813415527	3.1001882553100586	0.41246652603149414
12	He discussed a bankruptcy option before Marshall hit on a solution to their problems.	Marshall discussed a bankruptcy option before he hit on a solution to their problems.	HB02	U	5.498902320861816	4.924642086029053	0.5742602348327637
13	He was discussing a bankruptcy option when Marshall hit on a solution to their problems.	Marshall was discussing a bankruptcy option when he hit on a solution to their problems.	HB02	A	4.865229606628418	4.3320465087890625	0.5331830978393555
14	He spat into the mask as Carlos dropped the weight belts on his foot.	Carlos spat into the mask as he dropped the weight belts on his foot.	HB02	U	5.718136310577393	5.329892635345459	0.3882436752319336
15	He was spitting into the mask when Carlos dropped the weight belts on his foot.	Carlos was spitting into the mask when he dropped the weight belts on his foot.	HB02	A	5.5982255935668945	4.9639129638671875	0.634312629699707
16	She began to complain about her bad grade though Liz observed that their professor was standing nearby.	Liz began to complain about her bad grade though she observed that their professor was standing nearby.	HB02	U	5.240340709686279	4.940298080444336	0.30004262924194336
17	She had just begun to complain about her bad grade even though Liz observed that their professor was standing nearby.	Liz had just begun to complain about her bad grade even though she observed that their professor was standing nearby.	HB02	A	4.727147102355957	4.368890285491943	0.35825681686401367
18	He decided to purchase the magazine when Scott saw that a friend of theirs was on the cover.	Scott decided to purchase the magazine when he saw that a friend of theirs was on the cover.	HB02	U	3.92673659324646	3.484025716781616	0.44271087646484375
19	He was deciding to purchase the magazine when Scott saw that a friend of theirs was on the cover.	Scott was deciding to purchase the magazine when he saw that a friend of theirs was on the cover.	HB02	A	4.156665802001953	3.7001349925994873	0.4565308094024658
20	He tossed the trains at the wall when Walter discovered some trains would no longer function.	Walter tossed the trains at the wall when he discovered some trains would no longer function.	HB02	U	5.645585536956787	5.018226623535156	0.6273589134216309
21	He was tossing the trains at the wall when Walter discovered some trains would no longer function.	Walter was tossing the trains at the wall when he discovered some trains would no longer function.	HB02	A	5.424225330352783	4.901198863983154	0.5230264663696289
22	He stayed with underground writers when Ben was ordered to leave the country.	Ben stayed with underground writers when he was ordered to leave the country.	HB02	U	4.99585485458374	4.465304851531982	0.5305500030517578
23	He was staying with underground writers when Ben was ordered to leave the country.	Ben was staying with underground writers when he was ordered to leave the country.	HB02	A	4.6015191078186035	4.110107421875	0.4914116859436035
24	He stopped to buy some extra film when Jerry saw a really cute monkey. 	Jerry stopped to buy some extra film when he saw a really cute monkey. 	HB02	U	5.432400226593018	4.666887283325195	0.7655129432678223
