	high_loss_example	low_loss_example	set_id	cataphora_condition	item_num	gpt2-large:high_loss	gpt2-large:low_loss	gpt2-large:loss_diff
0	It was clear to him that Liam would win the scholarship.	It was clear to Liam that he would win the scholarship.	K07	U	1	4.222240924835205	3.935396432876587	0.28684449195861816
1	It was clear to him that Bill would win the scholarship.	It was clear to Bill that he would win the scholarship.	K07	U	1	3.902634382247925	3.7441670894622803	0.15846729278564453
2	It was clear to him that Steve would win the scholarship.	It was clear to Steve that he would win the scholarship.	K07	U	1	3.919213056564331	3.6410064697265625	0.27820658683776855
3	It was clear to him that Matt would win the scholarship.	It was clear to Matt that he would win the scholarship.	K07	U	1	4.005170822143555	3.737435817718506	0.26773500442504883
4	It was clear to him that Noah would win the scholarship.	It was clear to Noah that he would win the scholarship.	K07	U	1	4.060666561126709	3.776960611343384	0.2837059497833252
5	It was clear to him that Donald would win the scholarship.	It was clear to Donald that he would win the scholarship.	K07	U	1	3.999556064605713	3.8951051235198975	0.10445094108581543
6	It was clear to him that Randolf would win the scholarship.	It was clear to Randolf that he would win the scholarship.	K07	U	1	4.066143989562988	3.950044631958008	0.11609935760498047
7	It was clear to him that Edward would win the scholarship.	It was clear to Edward that he would win the scholarship.	K07	U	1	3.98417592048645	3.797178030014038	0.1869978904724121
8	It was clear to him that William would win the scholarship.	It was clear to William that he would win the scholarship.	K07	U	1	3.932417392730713	3.76513671875	0.1672806739807129
9	It was clear to him that Charles would win the scholarship.	It was clear to Charles that he would win the scholarship.	K07	U	1	3.922558546066284	3.69500732421875	0.22755122184753418
10	It was clear to him that Clyde would win the scholarship.	It was clear to Clyde that he would win the scholarship.	K07	U	1	4.200613021850586	3.885157585144043	0.31545543670654297
11	It was clear to him that Joseph would win the scholarship.	It was clear to Joseph that he would win the scholarship.	K07	U	1	4.012092113494873	3.6993837356567383	0.31270837783813477
12	It was clear to him that Robert would win the scholarship.	It was clear to Robert that he would win the scholarship.	K07	U	1	3.8839356899261475	3.714596748352051	0.16933894157409668
13	It was clear to him that Theodore would win the scholarship.	It was clear to Theodore that he would win the scholarship.	K07	U	1	4.140322685241699	3.9373793601989746	0.2029433250427246
14	It was clear to him that Michael would win the scholarship.	It was clear to Michael that he would win the scholarship.	K07	U	1	3.8511650562286377	3.651907205581665	0.19925785064697266
15	It was clear to him that Mitchell would win the scholarship.	It was clear to Mitchell that he would win the scholarship.	K07	U	1	3.8518877029418945	3.729008436203003	0.1228792667388916
16	It was clear to him that David would win the scholarship.	It was clear to David that he would win the scholarship.	K07	U	1	3.9065420627593994	3.568405866622925	0.3381361961364746
17	It was clear to him that Andrew would win the scholarship.	It was clear to Andrew that he would win the scholarship.	K07	U	1	4.061380386352539	3.6993422508239746	0.36203813552856445
18	It was clear to him that James would win the scholarship.	It was clear to James that he would win the scholarship.	K07	U	1	3.7135231494903564	3.531036615371704	0.18248653411865234
19	It was clear to him that John would win the scholarship.	It was clear to John that he would win the scholarship.	K07	U	1	3.8621327877044678	3.6028459072113037	0.25928688049316406
20	It was clear to him that Christopher would win the scholarship.	It was clear to Christopher that he would win the scholarship.	K07	U	1	4.080442428588867	3.794903039932251	0.2855393886566162
